id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
148,3,2.006111111,730,12,5,2,730,9,20,3,6,0.333333333,0,23.04750029,4,12,1,9,3,276.5700035,15,363.8881196
149,2,1.8575,680,18,9,1,680,8,26,4.5,2,0.588235294,2,18.2910046,4,18,0,9,31,329.2380829,15,366.0834455
150,8,2.0375,930,17,23,5,930,13,17,4.25,3,0.444444444,0,23.17352923,4,17,0,20,2,393.9499969,20,456.4417178
151,0,2.570277778,1026,19,26,4,1026,12,19,4.75,2,0.4375,1,25.7973685,4,19,0,20,32,490.1500015,20,399.1786448
152,10,1.861944444,820,11,6,1,820,8,32,2.75,1,0.428571429,1,35.04181741,4,11,0,12,31,385.4599915,0,440.399821
153,7,2.3025,1081,15,18,0,1081,10,42,3.75,1,0.625,1,25.16399892,4,15,0,12,2,377.4599838,0,469.4896851
154,1,2.193333333,782,17,13,0,782,7,18,4.25,2,0.526315789,0,20.65529363,4,17,0,9,32,351.1399918,15,356.5349544
155,4,3.619722222,1096,19,9,2,1096,15,91,6.333333333,1,0.266666667,0,22.78105204,3,19,0,16,31,432.8399887,2,302.785665
156,2,1.387777778,279,9,2,1,279,3,6,None,0,0.6,2,12.21333313,0,9,0,20,31,109.9199982,2,201.0408327
157,2,4.058333333,1390,24,17,4,1390,16,98,8,1,0.411764706,0,17.68333276,3,24,1,16,3,424.3999863,2,342.5051335
158,2,1.446111111,448,8,6,2,448,4,9,None,2,0.4,2,16.96125031,0,8,0,9,28,135.6900024,2,309.7963888
159,4,2.631111111,878,19,28,1,878,13,60,4.75,1,0.333333333,9,23.69778613,4,19,1,0,32,450.2579365,2,333.6993243
160,1,2.280277778,420,9,0,1,420,1,0,None,0,0.636363636,0,19.68666924,0,9,0,16,31,177.1800232,25,184.1880862
161,0,1.891111111,379,13,6,0,379,3,4,13,0,0.625,2,16.24000139,1,13,0,2,2,211.120018,2,200.4112808
162,1,2.186944444,507,15,6,0,507,3,14,7.5,2,0.705882353,0,12.71200002,2,15,0,19,31,190.6800003,9,231.8303061
163,0,1.595833333,209,6,1,0,209,1,1,None,0,0.555555556,0,16.20666631,0,6,0,3,2,97.23999786,8,130.9660574
164,1,2.759444444,576,18,1,2,576,12,41,18,1,0.4,2,15.03500027,1,18,0,6,32,270.6300049,20,208.7376686
165,0,2.383888889,338,13,1,0,338,4,0,4.333333333,1,0.692307692,0,20.46784947,3,13,0,20,3,266.0820432,12,141.7851317
166,1,3.077222222,637,14,0,1,637,4,0,7,0,0.615384615,4,18.42999976,2,14,2,9,28,258.0199966,18,207.0048745
167,0,1.331111111,312,4,0,0,312,1,0,2,0,0.5,1,30.18499947,2,4,0,0,32,120.7399979,5,234.3906511
168,0,2.572222222,645,20,3,2,645,9,1,20,3,0.647058824,0,10.91433868,1,20,0,2,28,218.2867737,21,250.7559395
169,4,1.106111111,362,4,1,2,362,2,7,None,0,0.5,0,18.95499992,0,4,1,22,8,75.81999969,0,327.2727273
170,2,1.916388889,472,13,11,3,472,7,6,6.5,1,0.545454545,0,17.74846136,2,13,0,20,8,230.7299976,7,246.2965647
171,0,2.3775,544,13,1,1,544,9,0,3.25,2,0.444444444,0,18.51153858,4,13,0,24,2,240.6500015,4,228.8117771
172,0,1.969722222,592,14,7,1,592,10,13,4.666666667,0,0.4,0,20.193573,3,14,0,22,31,282.710022,11,300.5499929
173,2,5.513055556,1380,42,30,3,1380,23,69,14,1,0.580645161,4,15.69690559,3,42,0,5,3,659.2700348,22,250.3149091
174,0,3.9175,1009,27,1,0,1009,12,5,9,1,0.625,1,15.32518712,3,27,0,12,3,413.7800522,16,257.5622208
175,3,2.3025,788,17,6,5,788,12,25,8.5,2,0.444444444,1,15.26647052,2,17,0,2,31,259.5299988,20,342.2366992
176,0,2.406388889,780,15,10,2,780,3,19,5,0,0.785714286,1,18.7486674,3,15,0,2,28,281.230011,20,324.1371349
177,0,1.885833333,561,10,8,1,561,7,10,3.333333333,1,0.375,1,24.01700058,3,10,0,2,2,240.1700058,20,297.4812196
178,0,2.166111111,643,19,4,1,643,8,9,4.75,2,0.555555556,2,15.76473658,4,19,1,2,31,299.529995,20,296.845345
179,4,1.997777778,644,10,8,2,644,4,26,None,2,0.857142857,3,13.13399963,0,10,0,20,2,131.3399963,2,322.3581758
180,0,1.897222222,547,11,6,0,547,3,10,5.5,0,0.538461538,1,16.47727342,2,11,1,20,32,181.2500076,20,288.3162518
181,2,1.661388889,530,9,5,3,530,2,5,9,0,0.75,1,10.99222226,1,9,0,20,8,98.93000031,20,319.010199
182,0,1.925833333,579,13,6,1,579,6,3,6.5,1,0.6,4,18.77692296,2,13,0,20,3,244.0999985,20,300.6490697
183,3,1.911388889,564,14,4,0,564,6,6,14,1,0.571428571,2,16.18714305,1,14,0,20,28,226.6200027,20,295.0733905
184,0,1.360277778,361,9,5,0,361,6,3,None,0,0.3,2,11.04222192,0,9,0,20,32,99.37999725,20,265.3869716
185,0,1.569722222,468,8,0,0,468,1,1,None,1,0.625,2,14,0,8,1,20,8,112,20,298.1419218
186,0,1.258611111,294,6,0,0,294,2,0,6,1,0.571428571,2,14.92666626,1,6,0,20,2,89.55999756,17,233.5908188
187,0,1.707222222,540,12,7,0,540,5,7,6,1,0.5,1,20.84249878,2,12,0,20,31,250.1099854,20,316.3032867
188,2,2.140555556,545,6,1,1,545,3,32,6,1,0.5,0,21.35666656,1,6,0,2,32,128.1399994,13,254.6067999
189,1,1.416944444,360,5,9,1,360,2,0,None,2,0.5,1,16.93999939,0,5,0,2,2,84.69999695,3,254.0678298
190,4,2.539166667,636,16,6,3,636,8,5,8,1,0.533333333,0,13.48249936,2,16,0,20,8,215.7199898,9,250.4758779
191,0,0.260833333,91,1,5,0,91,1,0,1,0,None,0,35.61999893,1,1,0,7,31,35.61999893,15,348.8817891
192,0,0.098611111,9,0,0,0,9,0,3,None,0,None,0,None,0,0,0,7,31,0,15,91.26760563
193,3,3,980,22,8,5,980,9,11,7.333333333,4,0.52,2,21.96227282,3,22,0,2,8,483.170002,20,326.6666667
194,1,1.984444444,740,17,15,0,740,12,18,4.25,2,0.625,0,26.04588183,4,17,0,7,32,442.7799911,20,372.9003359
